NAME:INTPTLAT,INTPTLONG                                                                                                               
Sutter County:39.03619,-121.70394                                                                                                                    
Tehama County:40.126157,-122.232274                                                                                                               
Trinity County:40.647803,-123.114476                                                                                                              
Tulare County:36.228834,-118.781055                                                                                                              
Tuolumne County:38.021434,-119.964733                                                                                                             
Ventura County:34.358741,-119.133143                                                                                                            
Yolo County:38.679596,-121.902441                                                                                                                  
Yuba County:39.27013,-121.344259                                                                                                                   
Adams County:39.874325,-104.331872                                                                                                                
Alamosa County:37.568442,-105.788041                                                                                                                 
Arapahoe County:39.644554,-104.331706                                                                                                                
Archuleta County:37.202395,-107.050863                                                                                                             
Baca County:37.30978,-102.543741                                                                                                                    
Bent County:37.931891,-103.077584                                                                                                                  
Boulder County:40.09497,-105.397691                                                                                                                 
Broomfield County:39.953593,-105.050787                                                                                                                 
Chaffee County:38.738223,-106.316683                                                                                                                
Cheyenne County:38.835646,-102.601791                                                                                                               
Clear Creek County:39.669732,-105.69257                                                                                                              
Conejos County:37.213406,-106.176447                                                                                                                
Costilla County:37.277547,-105.42894                                                                                                                
Crowley County:38.30618,-103.772736                                                                                                                
Custer County:38.101996,-105.373512                                                                                                                  
Delta County:38.861595,-107.864892                                                                                                                 
Denver County:39.76185,-104.881105                                                                                                                    
Dolores County:37.711723,-108.524116                                                                                                                 
Douglas County:39.325414,-104.925987                                                                                                                 
Eagle County:39.626992,-106.695169                                                                                                                  
Elbert County:39.315157,-104.114076                                                                                                                  
El Paso County:38.827383,-104.527472                                                                                                                
Fremont County:38.45517,-105.424958                                                                                                                 
Garfield County:39.599352,-107.90978                                                                                                               
Gilpin County:39.861156,-105.528878                                                                                                                    
Grand County:40.113065,-106.110837                                                                                                                
Gunnison County:38.670499,-107.05688                                                                                                              
Hinsdale County:37.821165,-107.338261                                                                                                              
Huerfano County:37.687815,-104.959928                                                                                                               
Jackson County:40.663432,-106.329248                                                                                                               
Jefferson County:39.579511,-105.245462                                                                                                              
Kiowa County:38.387663,-102.756849                                                                                                                 
Kit Carson County:39.30534,-102.603023                                                                                                              
